method,seed,final_visibility,final_energy,func_evals
PSON,42,0.5390422877791092,0.21248201245591755,496
PSON,123,0.5552278118330065,0.19782229936685547,501
PSON,456,0.5491813472698894,0.20323745764939202,495
PSON,789,0.5364469605374713,0.21488142039494867,511
PSON,1000,0.5057364457074637,0.244296461101891,516
Random Search,42,0.5235086555633619,0.22704400132303487,600
Random Search,123,0.5124859025748456,0.23766999518826293,600
Random Search,456,0.5000690506603253,0.24993095410766844,600
Random Search,789,0.4691826319241664,0.281767078250955,600
Random Search,1000,0.5541621590433858,0.19877138042885517,600
Simulated Annealing,42,0.5004249465264939,0.24957523405305643,600
Simulated Annealing,123,0.6990457508914888,0.09057346005646782,600
Simulated Annealing,456,0.5336865053021226,0.21744827533734734,600
Simulated Annealing,789,0.6221313676551222,0.14278470331018842,600
Simulated Annealing,1000,0.6126532855612173,0.15003747718651983,600
Finite-Diff GD,42,0.40620048680259013,0.3525978618734809,10201
Finite-Diff GD,123,0.40620048680259013,0.3525978618734809,10201
Finite-Diff GD,456,0.40620048680259013,0.3525978618734809,10201
Finite-Diff GD,789,0.40620048680259013,0.3525978618734809,10201
Finite-Diff GD,1000,0.40620048680259013,0.3525978618734809,10201
CMA-ES,42,0.91074075758624,0.00796721235627838,611
CMA-ES,123,0.9581598140914437,0.0017506011568625545,611
CMA-ES,456,0.9727140832202027,0.0007445212545140241,611
CMA-ES,789,0.935315313145692,0.00418410871343988,611
CMA-ES,1000,0.9539108683373332,0.002124208057418637,611
