scenario,seed,pson_V,cma_V
Clean,42,0.4094159175270749,0.6113651223886548
Clean,123,0.4048293952896008,0.464052842433601
Clean,456,0.40473678953542525,0.4557044664115566
Clean,789,0.4011403398303509,0.5306096847320274
Clean,1000,0.4032416534235173,0.47354873825953847
Clean,2024,0.4068615600217672,0.5104142079745382
Clean,3141,0.4059249026556249,0.5517134303679694
Clean,4242,0.4049538942584549,0.4676231571381366
Clean,5555,0.3991237414282114,0.5413741030205453
Clean,6789,0.4161912123833804,0.4631688397751551
Binary,42,0.4056394460130941,0.44134299115176245
Binary,123,0.40011217111715475,0.39563898109673945
Binary,456,0.40270461940496044,0.44723815501534503
Binary,789,0.40343787437927964,0.36794234508038826
Binary,1000,0.3983750637420322,0.4569638314013521
Binary,2024,0.4007392352668245,0.43648427298524006
Binary,3141,0.4026581234574955,0.4073572102964921
Binary,4242,0.39852191296336653,0.41358843347910257
Binary,5555,0.39840950932350777,0.4056382640258721
Binary,6789,0.41575796073114646,0.4036867436874285
Adversarial-10%,42,0.4023444164437216,0.44134299115176245
Adversarial-10%,123,0.39854093603361274,0.579405189369805
Adversarial-10%,456,0.4066634770157993,0.47684733922227274
Adversarial-10%,789,0.4030585012571844,0.43679300904648877
Adversarial-10%,1000,0.4075995353499939,0.46987643239866705
Adversarial-10%,2024,0.40652880551559084,0.4218827390622183
Adversarial-10%,3141,0.4034484522567132,0.5517134303679694
Adversarial-10%,4242,0.40506056932943696,0.42328416960692894
Adversarial-10%,5555,0.40051275041912604,0.4207340093996573
Adversarial-10%,6789,0.40124442318701375,0.43226566490298346
Adversarial-20%,42,0.39706042313129924,0.517658672615667
Adversarial-20%,123,0.4007414242714634,0.501711327520322
Adversarial-20%,456,0.40514157587979244,0.44723815501534503
Adversarial-20%,789,0.4030172230472442,0.48666673707743846
Adversarial-20%,1000,0.4071468509862622,0.4365681127186918
Adversarial-20%,2024,0.4036485775464421,0.42269431295869486
Adversarial-20%,3141,0.40346025863085605,0.40825105296339603
Adversarial-20%,4242,0.4034581398160321,0.43640860300120576
Adversarial-20%,5555,0.40187478648527175,0.43909843845970786
Adversarial-20%,6789,0.40124442318701375,0.43226566490298346
Adversarial-30%,42,0.40012493602500665,0.4986588544020304
Adversarial-30%,123,0.39761861782431257,0.43756415184678876
Adversarial-30%,456,0.4003611407869976,0.44723815501534503
Adversarial-30%,789,0.4019391152693515,0.48666673707743846
Adversarial-30%,1000,0.3980954541818799,0.4793048011440826
Adversarial-30%,2024,0.40916669487503865,0.40562317384300184
Adversarial-30%,3141,0.3994994266424297,0.46197861240594884
Adversarial-30%,4242,0.4034581398160321,0.4254669605960961
Adversarial-30%,5555,0.39918079675267804,0.43105480107118255
Adversarial-30%,6789,0.4052824372259978,0.4454018592053052
Delay-5,42,0.4003973763033812,0.5112072101305583
Delay-5,123,0.39758389818817164,0.4421365632032397
Delay-5,456,0.4020712871534482,0.44723815501534503
Delay-5,789,0.4030560380580838,0.4791429419426052
Delay-5,1000,0.3978595883079972,0.4484916735401142
Delay-5,2024,0.3971997011007289,0.40562317384300184
Delay-5,3141,0.39963909502435446,0.46306653083981586
Delay-5,4242,0.3987925989333117,0.41780676277484396
Delay-5,5555,0.3976819659785455,0.447073688732222
Delay-5,6789,0.4059594111490657,0.4631688397751551
Delay-10,42,0.4056413767016256,0.443071154901843
Delay-10,123,0.4001113997880664,0.4496165412822639
Delay-10,456,0.40190689755581455,0.44723815501534503
Delay-10,789,0.3981542223257523,0.41205628208300693
Delay-10,1000,0.39801244031621164,0.47354873825953847
Delay-10,2024,0.4017853399774509,0.4550712138700649
Delay-10,3141,0.4026575902515197,0.4073572102964921
Delay-10,4242,0.39852265216979377,0.4641542597343391
Delay-10,5555,0.39659850860844115,0.38297584332429
Delay-10,6789,0.41575953710761976,0.4631688397751551
Binary+Adversarial,42,0.3974616109296347,0.44134299115176245
Binary+Adversarial,123,0.4021037215170762,0.4351589492277548
Binary+Adversarial,456,0.40235697905907697,0.44723815501534503
Binary+Adversarial,789,0.40062634685283005,0.3950161545195754
Binary+Adversarial,1000,0.4006036999583098,0.44362043925630257
Binary+Adversarial,2024,0.40819668429493494,0.40562317384300184
Binary+Adversarial,3141,0.4053970876417394,0.5022869963047747
Binary+Adversarial,4242,0.4076643236420462,0.4782538023544418
Binary+Adversarial,5555,0.40711560074654063,0.36847110487247736
Binary+Adversarial,6789,0.4084957359489869,0.40471914517239416
Nightmare,42,0.39777385013770333,0.5352676720019601
Nightmare,123,0.4028881824988868,0.4351589492277548
Nightmare,456,0.4023747225116824,0.44723815501534503
Nightmare,789,0.3975478633916802,0.42303076336064316
Nightmare,1000,0.3976284510016992,0.44362043925630257
Nightmare,2024,0.40145203241713956,0.4433603918527881
Nightmare,3141,0.4015183009292684,0.46391998256847433
Nightmare,4242,0.4078176873006625,0.4774611813484616
Nightmare,5555,0.4052724668383838,0.36847110487247736
Nightmare,6789,0.4077212127700378,0.40471914517239416
