signal,coupling,dependency,seed,final_V_no_pson,final_V_pson,pson_gain,deltaF90_no_pson,deltaF90_pson,accept_rate_no_pson,accept_rate_pson
zeta,phase,per_gap,42,0.4415043358249139,0.5740093879051993,0.1325050520802854,0,184,0.0,0.31511254019292606
zeta,phase,per_screen,42,0.4430525080101138,0.5596836083994007,0.11663110038928687,0,173,0.0,0.4174757281553398
zeta,amplitude,per_gap,42,0.42110385393271904,0.5514404937519878,0.13033663981926874,178,185,1.0,0.65
zeta,amplitude,per_screen,42,0.6026312098665367,0.6287348533379076,0.02610364347137084,0,183,0.0,0.2698412698412698
sinmix,phase,per_gap,42,0.3965005355157015,0.5390433745649333,0.14254283904923182,179,187,1.0,0.6896551724137931
sinmix,phase,per_screen,42,0.3994023637142323,0.4953747094676181,0.09597234575338576,0,186,0.0,0.28205128205128205
sinmix,amplitude,per_gap,42,0.39309357664291106,0.5280271321944738,0.13493355555156278,175,186,1.0,0.6437908496732027
sinmix,amplitude,per_screen,42,0.5198312171088871,0.5944040254354813,0.07457280832659419,0,174,0.0,0.5098684210526315
one_over_f,phase,per_gap,42,0.4111765992606212,0.5253438152687969,0.1141672160081757,0,182,0.0,0.3225806451612903
one_over_f,phase,per_screen,42,0.507337170583526,0.6360585072110831,0.12872133662755714,178,165,1.0,0.6493506493506493
one_over_f,amplitude,per_gap,42,0.39717456956057895,0.516559468424379,0.1193848988638001,178,186,1.0,0.6524590163934426
one_over_f,amplitude,per_screen,42,0.6017483269622016,0.6738609904240068,0.07211266346180523,0,179,0.0,0.35135135135135137
chirp,phase,per_gap,42,0.4042179225268521,0.5373375196713004,0.13311959714444827,178,170,1.0,0.5852090032154341
chirp,phase,per_screen,42,0.46291045361373556,0.5917324453261572,0.12882199171242165,177,167,1.0,0.6557377049180327
chirp,amplitude,per_gap,42,0.4293732975994921,0.5646026250589485,0.13522932745945643,175,185,1.0,0.6666666666666666
chirp,amplitude,per_screen,42,0.5847972683937435,0.6774504669511002,0.09265319855735676,180,185,1.0,0.6666666666666666
turbulence,phase,per_gap,42,0.43043700002134827,0.590349709283191,0.1599127092618427,181,186,1.0,0.6622516556291391
turbulence,phase,per_screen,42,0.4309759783250125,0.5522043105159131,0.12122833219090062,0,173,0.0,0.2861736334405145
turbulence,amplitude,per_gap,42,0.39855984514849246,0.53253891830229,0.1339790731537976,172,186,1.0,0.6896551724137931
turbulence,amplitude,per_screen,42,0.5667372052171179,0.6389797558070556,0.07224255058993767,0,186,0.0,0.30718954248366015
